おたく, someone else's house
おと, sound
おとな, adult
オンライン, online
がっき, semester
ガム, gum
けいたい, cell phone
きょうかしょ, textbook
きょうしつ, classroom
こくばん, blackboard
シラバス, syllabus
スポーシカー, sportscar
スリッパ, slippers
せんがっき, last semester
て, hand; arm
なに, something
ばんごう, number
ひみつ, secret
プレザント, present; gift
（お）ふろ, bath
ボス, boss
まど, window

あける, open
おくれる, to be late for; be delayed
おしえる, tell
しめる, close; shut
しらせる, inform
つける, turn on
わすれる, forget

いう, say
おわる, finish; end
かむ, chew
がんばる, do one's best
けす, turn off; erase
すう, smoke; inhale
つかう, use
とる, take
はじまる, begin
やすむ, be absent from

せつめい（を）する, explain
そうだん（を）する, consult
れんしゅう（を）する, practice
れんらく（を）する, contact

たいせつ, important
たいへん, hard
だめ, no good; bad

いつも, always
かならず, without fail; surely
ちゃんと, properly
まだ, yet
もう, already

ホーケー, okay; OK; all right
がんばってべんきょうしましょう。, Let's study hard
ぜったいに, under any circumstance; definitely
だけど, but
つぎに, next; next time
みんなで, all together
もちろん, of course
