anime, animation
あさごはん, breakfast
あさって, the day after tomorrow
あした, tomorrow
banana, banana
ばんごはん, dinner
べんきょう, study
biiru, beer
depaato, department store
diibuiidii, DVD
えいが, movie
えいがかん, movie theater
futtobooru, football
ぎんざ, a district in Tokyo
ごはん, (boiled) rice; meal
〜ごろ, about (time)
はん, half
hanbaagaa, hamburger
ひるごはん, lunch
いま, now
〜じ, o'clock
kafe, café
karaoke, karaoke
koohii, coffee
きょう, today
まいあさ, every morning
まいばん, every night
まいにち, every day
みず, water
なに, what
なんじ, what time
にほんまち, Japantown
おちゃ, tea; green tea
おんがく, music
orenjijuusu, orange juice
pasuta, pasta
piza, pizza
raamen, ramen
rajio, radio
rangeejisentaa, language center
resutoran, resturant
（お）さけ, sake
shiidii, CD
しょくどう, restaurant; dining room; cafeteria
しゅくだい, homework
sukii, ski
suupaa, supermarket
すし, sushi
すしや, sushi restaurant
teepu, tape
tenisu, tennis
てんぷら, tempura
terebi, TV
tesuto, test
としょかん, library
wain, wine

べんきょう（お）します, study
いきます, go
かえります, go back; return
ききます, listen; hear
きます, come
みます, see; look; watch
ねます, go to bed; sleep
のみます, drink
おきます, get up; wake up
します, do
たべます, eat

で, at; in; on
ね, won't you?
に, to
を, (object particle)
よ, right?

いっしょに, together
すぐ, right away
よく, often

ちょっと..., a little; while
いいですね, it sounds good
じゃあ、またあさった, see you the day after tomorrow
これから, after now
おなかがすきました, I got hungry
それじゃ, then; so
それがいいですね, I agree
それから, and then
そして, and
uun karaoke desu ka, um do you mean karaoke


いつも, always
ときどき, sometimes
かいます, to buy
よみます, to read
かきます, to write
あまり, rarely
ぜんぜん, never
