バーベキュー, barbecue
バスケットボール, basketball
ベッド, bed
ちゃわん, rice bowl; teacup
ドイツ, Germany
ふとん, futon
がいこく, foreign country
ゲーム, game
〜ご, suffix for language
ちゅうごくこ, Chinese language
ドイツご, German language
えいご, English language
フルンスご, French language
がいこくご, foreign language
なにご, what language?
スペインご, Spanish language
はらじゅく, a district in Tokyo
はし, chopsticks
ほん, book
ほにや, bookstore
イギリス, England
ジャズ, jazz
かいもの, shopping
けさ, this morning
きのう, yesterday
こんばん, tonight
コーラ, cola
メール, e-mail
おととい, the day before yesterday
プレイステーション, PlayStation
サラダ, salad
サンドイッチ, sandwich
しぶや, a district in Tokyo
しんぶん, newspaper
しょくじ, meal
てがみ, letter
ざっし, magazine

でかけます, go out
はなします, speak; talk
かいます, buy
かいもの（を）します, do shopping
かきます, write
しょくじ（を）します, have a meal
よみます, read

じょおず, good at; skillful; proficient

ちょっと, a little
ぜひ, definitely

が, (topic particle)
も, also; too; (not) either
と, and

え, Oh?/Oh!
でも, but
いいんですか, Is it all right with you?
おねがいします, I appreciate it; I appreciate your offer; Please do it for me
まだです, not yet
そうそう, speaking of which
うーん, wow!
