iyahoon, earphone
かぶき, Kabuki
かぶきざ, the Kabukizi theater
gaarufurendo, girlfriend
きもの, kimono
kurasumeeto, classmate
げいのう, performing arts
こうえん, park
konsaato, concert
こんしゅう, this week
しけん, examination
Suisa, Switzerland
supootsu, sports
せつめい, explanation
せんしゅう, last week
せんぼんざくら, the name of a kabuki play
たてもの, building
たべもの, food
dansu, dance
とけい, clock; watch
ところ, place
にわ, garden
piano, piano
ひらがな, hiragana
まえ, before
まいしゅう, every week
らいしゅう, next week
roomaji, the Roman alphabet

うたいます, sing
わかります, understand

きらい, dislike
すき, like; fond of
だいきらい, dislike very much
だいすき, like very much
にぎやか, lively
へた, unskilled; unskillful; poor (at)
ゆうめい, famous
りっぱ, fine; magnificent

おもしろい, interesting; fun
すばらしい, wonderful; great
たのしい, pleasant
つまらない, uninteresting; boring
ながい, long
みじかい, short
むずかしい, difficult
やさしい, easy

だいたい, just about; almost
よく, well
ほんとうに, really; indeed

で, by means of

けど, but; although
そうでしょう。, It is isn't it?
それはよかったですね。, That's great!
どんな, what sort of?
はじょめて, for the first time

じょうず, skillful
あぶない, dangerous
あんぜん, safe
ねむい, sleepy
