あき, fall; autumn
いす, chair
いし, stone
いつ, when
いぬ, dog
インタビュー, interview
うえ, on; above
うしろ, back; behind
うみ, sea
えき, station
えんぴつ, pencil
おかね, money
おてあらい, restroom
おとこのこ, boy
おとこのひと, man
おんなのこ, girl
おんなのひと, woman
がいこくじん, foreigner
かご, bird cage; basket
かさ, umbrella
かばん, bag
かまくら, a city near Tokyo
き, tree
きょうと, a historical city
きんかくじ, Kinkakuji Temple in Kyoto
ぎんかくじ, Ginkakuji Temple in Kyoto
クラシック, classical music
けしき, scenery
こども, child
こんど, next time
さかな, fish
しか, deer
した, under
しつもん, question
シーフード, seafood
しゅうまつ, weekend
しんかんせん, Shinkansen; bullet train
じんじゃ, Shinto shrine
スプーン, spoon
セール, sale
そと, outside
そば, near
だいぶつ, the Great Buddha
ちかく, near
つぎ, next; following
つくえ, desk
テーブル, table
（お）てら, temple
でんしゃ, train
ドア, door
とうだいじ, Toodaiji Temple in Nara
どうぶつえん, zoo
となり, next (to someone or something); next door
とり, bird
ナイフ, knife
なか, inside
なつ, summer
なつやすみ, summer vacation
なら, a historical city near Kyoto
ねこ, cat
のりもの, vehicle; ride
はな, flower
バス, bus
はる, spring
パンダ, panda
ひこうき, airplane
ひま, free time
フォーク, fork
ふゆ, winter
ベンチ, bench
まえ, front
まち, town; city
ミイテイング, meeting
りょうあんじ, Ryooanji Temple in Kyoto
りょこう, trip; travel
ロック, rock music
ロブスター, lobster
ゆうびんきょく, post office

あります, there is (are); have
います, there is (are)
けんぶつ（を）します, sightsee
びっくりします, be surprised
りょこう（を）します, travel; take a trip

いろいろ, various
すてき, fantastic; great; "cool!"
べんり, convenient

かわいい, cute
わかい, young

すごく, very
たくさん, a lot
とくに, especially

で, by means of
で, (famous) for
に, in; at
は, (contract particle)
や, and (among others)

そうそう, by the way
だいじょうぶです, It is OK with me
たのしみにしています, looking forward to
びっくりしますよ。, You will be surprised.
へえー, Wow!
