アクション, action (movie)
アラスカ, Alaska
イヤリング, earring
え, picture; painting
かたかな, katakana
カメラや, camera shop
きょねん, last year
ことし, this year
このどろ, nowadays; these days
コメデイー, comedy
ゴールデンウイーク, Golden Week
こんぜつ, this month
〜がつ, month
（〜）じかん, time; hours
CD プレーヤー, CD player
せんげつ, last month
たんじょうび, birthday
チケット, ticket
Tシャツ, t-shirt
デジカメ, digital camera
とおかかん, ten days
なんにち, what day of the month; how many days
27にち, 27th day of the month
にちようび, Sunday
ネックレス, necklace
ハイキング, hiking
〜ねん, year
〜ねんかん, year(s)
バックパック, backpack
パンや, bakery
びじゅつかん, art museum
ふね, boat; ship
ホラー, horror (movie)
まいぜつ, every month
まいつき, every month
まいねん, every year
ミステリー, mystery (story)
ミルク, milk
らいげつ, next month
らいねん, next year
よてい, plan; schedule

キス（を）します, kiss
ダンス（を）します, dance
やすみます, rest

あたたかい, warm
あつい, hot
こわい, scary
さむい, cold (weather)
すずしい, cool (weather)
ない, There is no/not...; is nonexistent
ほしい, want

たしか, if I remember correctly
どうして, why
まだ, still
もうすぐ, soon

から, because
から, from
〜ぐらい, about; approximately
〜なあ, (particle used when thinking out loud)
の, (particle used for asking for reasons)
の, one(s)

ううん, uh-uh; no
うん, uh-huh; yeah; yes
ええー, Really?
しごとはいかがですか。, How is work?
どのぐらい, how long?
まだちょっとさむいですね。, It is still a little cold isn't it?
ゆっくりやすみたいです。, I want to take a good rest.
ゆうめいなえをゆっくり みたいです。, I want to take my time to look at the famous pictures.
わださんはたしかきょねんも, If I remember correctly Mr. Wada
フランス へいきましたよね。, you went to France last year too didn't you?

にちようび, Sunday
げつようび, Monday
かようび, Tuesday
すいようび, Wednesday
もくようび, Thursday
きんようび, Friday
どようび, Saturday
なんようび, which day of the week
