アルバイト, part-time job; side job
うんてん, driving
おかし, sweets; candy
おきゃくさま, customer
かちょう, section chief
ゴルフ, golf
じゅうどう, judo
スケートボード, skateboard
セールス, sales
たたみ, tatami mat
チェス, chess
（お）ちゃかい, tea ceremony
とき, when; at the time of
〜ふん, minute
ボーリング, bowling
あんせつ, interview

うける, take (an exam)
かりる, borrow
こたえる, answer
できる, be able to; can

すわる, sit
のる, get on; ride

アルバイト（を）する, do a part-time job
うんてん（を）する, drive
しつもん（を）する, ask a question
しんぱい（を）する, worry
はなし（を）する, talk (about something)

だいじょうぶ, all right; OK

あまい, sweet
にがい, bitter

いままで, until now
たぶん, probably
べつに, not especially; nothing in particular
また, again

かな, I wonder
と, with

おちゃができるの, You can perform a tea ceremony
くるまもだいじょうぶです, I am fine with cars too
しけんをうけてください, Take the exam please
しつれいします, I am going to do something rude (I am entering the room)
しんぱいしないで, Please don't worry
ちょうどよかった, Perfect timing
どうぞおはいりください, Please come in
やまもとあけみともうします, I am Akemi Yamamoto
