あっち, that way (over there); that one (over there)
あに, (my) older brother
あね, (my) older sister
あちら, that person )ver there); that way (over there)
いもうと, (my) younger sister
いもうとさん, (someone else's) younger sister
おかあさん, (someone else's) mother
おくさん, (someone else's) wife
おこさん, (someone else's) child
おとうさん, (someone else's) father
おとうと, (my) younger brother
おとうとさん, (someone else's) younger brother
おにいさん, (someone else's) older brother
おねえさん, (someone else's) older sister
〜がつ, month(s) (the counter for months)
（ご）がぞく, family
かない, (my) wife
ギター, guitar
（お）きょうだい, sibling
こうこう, high school
こっち, this way; this one
〜さい, year(s) old
しりつ, private
ジーンズ, jeans
ジャクット, jacket
しゃしん, photograph; snapshot
〜しゅうかん, week(s)
（ご）しゅじん, husband
スカート, skirt
スクジュール, schedule
スニーカー, sneakers
せいふく, uniform
そっち, that way; that one
ソックス, socks
そちら, that person; that way
だいがくいん, graduate school
ちち, (my) father
どっち, which way; which one
どちら, which person; which way
ニューヨーク, New York
〜にん, counter for people
ネクタイ, necktie
〜ねんせい, -year student (e.g. 1st year student)
はたち, twenty years of age
はは, (my) mother
ひとり, one person
ブーツ, boots
ふたり, two people
プレースメントテスト, placement test
ホーメステイ, homestay
ホストファミリー, host family
みはさん, everyone
みんな, everyone
めがね, eyeglasses
ラケット, racket (tennis etc.)
（ご）りょうしん, parents

おしえる, teach
きる, put on; wear (clothes above the waist)
つとめる, work for; be employed
みせる, show

あそぶ, play; enjoy oneself
あつまる, gather
かよう, commute
きく, ask; inquire
しる, know
すむ, live
とる, take off (accessories)
ならう, learn
めぐ, take off (clothes and shoes)
はく, put on; wear
ひく, play (a stringed instrument or piano)
まつ, wait
もつ, have; possess; hold

けっこん（を）する, marry
する, put on; wear
でんわ（を）する, make a phone call
ホーメステイ（を）する, stay with a host family
りょうり（を）する, cook

ざんねん, regrettable

あとで, later

から, from
に, to (a person)

あら, Oh!
そう, I see.
へえ, Really?
まあ, Oh!; Dear me!
みなさんで, all (of the people)
みなさんによろしくね。/よろしくいいってね。, Say hi to everyone for me./Give everyone my regards.
もしもし, Hello! (on the phone)
